STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,statinfo,Statistical information,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,CH,Switzerland,2018,,103.93,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,CH,Switzerland,2019,,102.63,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,CH,Switzerland,2020,,102.76,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,CH,Switzerland,2021,,103.66,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,CH,Switzerland,2022,,105.71,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,CH,Switzerland,2023,,103.94,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,CY,Cyprus,2015,,77.81,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,CY,Cyprus,2016,,80.33,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,CY,Cyprus,2017,,84.09,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,CY,Cyprus,2018,,88.36,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,CY,Cyprus,2019,,93.96,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,CY,Cyprus,2020,,96.77,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,CY,Cyprus,2021,,97.46,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,CY,Cyprus,2022,,101.26,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,CY,Cyprus,2023,,100.10,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,CY,Cyprus,2024,,103.42,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,CZ,Czechia,2015,,100.59,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,CZ,Czechia,2016,,104.89,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,CZ,Czechia,2017,,109.14,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,CZ,Czechia,2018,,113.87,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,CZ,Czechia,2019,,119.66,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,CZ,Czechia,2020,,124.15,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,CZ,Czechia,2021,,123.88,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,CZ,Czechia,2022,,132.83,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,CZ,Czechia,2023,,124.64,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,CZ,Czechia,2024,,120.51,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,DE,Germany,2015,,101.44,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,DE,Germany,2016,,104.33,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,DE,Germany,2017,,107.04,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,DE,Germany,2018,,109.04,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,DE,Germany,2019,,110.85,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,DE,Germany,2020,,120.22,,b,break in time series,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,DE,Germany,2021,,114.87,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,DE,Germany,2022,,111.21,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,DE,Germany,2023,,107.89,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,DE,Germany,2024,,106.96,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,DK,Denmark,2015,,102.15,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,DK,Denmark,2016,,103.03,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,DK,Denmark,2017,,105.38,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,DK,Denmark,2018,,106.72,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,DK,Denmark,2019,,108.35,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,DK,Denmark,2020,,107.63,,b,break in time series,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,DK,Denmark,2021,,112.01,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,DK,Denmark,2022,,113.65,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,DK,Denmark,2023,,106.75,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,DK,Denmark,2024,,106.30,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,EA20,Euro area – 20 countries (from 2023),2015,,94.71,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,EA20,Euro area – 20 countries (from 2023),2016,,97.27,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,EA20,Euro area – 20 countries (from 2023),2017,,99.59,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,EA20,Euro area – 20 countries (from 2023),2018,,101.02,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,EA20,Euro area – 20 countries (from 2023),2019,,102.17,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,EA20,Euro area – 20 countries (from 2023),2020,,106.53,,b,break in time series,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,EA20,Euro area – 20 countries (from 2023),2021,,106.08,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,EA20,Euro area – 20 countries (from 2023),2022,,106.99,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,EA20,Euro area – 20 countries (from 2023),2023,,104.66,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,EA20,Euro area – 20 countries (from 2023),2024,,104.91,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,EE,Estonia,2015,,118.02,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,EE,Estonia,2016,,129.24,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,EE,Estonia,2017,,139.18,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,EE,Estonia,2018,,150.59,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,EE,Estonia,2019,,158.59,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,EE,Estonia,2020,,165.45,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,EE,Estonia,2021,,171.88,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,EE,Estonia,2022,,193.22,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,EE,Estonia,2023,,165.04,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,EE,Estonia,2024,,161.38,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,EL,Greece,2015,,58.94,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,EL,Greece,2016,,59.44,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,EL,Greece,2017,,60.22,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,EL,Greece,2018,,61.61,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,EL,Greece,2019,,63.72,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,EL,Greece,2020,,67.92,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,EL,Greece,2021,,68.56,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,EL,Greece,2022,,74.15,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,EL,Greece,2023,,71.62,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,EL,Greece,2024,,74.23,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,ES,Spain,2015,,83.75,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,ES,Spain,2016,,86.35,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,ES,Spain,2017,,89.96,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,ES,Spain,2018,,91.77,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,ES,Spain,2019,,91.61,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,ES,Spain,2020,,97.13,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,ES,Spain,2021,,96.53,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,ES,Spain,2022,,99.15,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,ES,Spain,2023,,99.71,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,ES,Spain,2024,,101.66,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,EU27_2020,European Union - 27 countries (from 2020),2015,,96.97,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,EU27_2020,European Union - 27 countries (from 2020),2016,,100.04,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,EU27_2020,European Union - 27 countries (from 2020),2017,,103.57,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,EU27_2020,European Union - 27 countries (from 2020),2018,,106.65,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,EU27_2020,European Union - 27 countries (from 2020),2019,,109.92,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,EU27_2020,European Union - 27 countries (from 2020),2020,,115.79,,b,break in time series,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,EU27_2020,European Union - 27 countries (from 2020),2021,,117.36,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,EU27_2020,European Union - 27 countries (from 2020),2022,,119.83,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,EU27_2020,European Union - 27 countries (from 2020),2023,,118.63,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,EU27_2020,European Union - 27 countries (from 2020),2024,,120.25,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,FI,Finland,2015,,99.27,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,FI,Finland,2016,,98.95,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,FI,Finland,2017,,99.97,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,FI,Finland,2018,,101.45,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,FI,Finland,2019,,101.65,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,FI,Finland,2020,,102.97,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,FI,Finland,2021,,102.44,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,FI,Finland,2022,,104.64,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,FI,Finland,2023,,100.60,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,FI,Finland,2024,,101.17,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,FR,France,2015,,99.26,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,FR,France,2016,,100.55,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,FR,France,2017,,101.41,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,FR,France,2018,,101.44,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,FR,France,2019,,100.87,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,FR,France,2020,,97.74,,b,break in time series,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,FR,France,2021,,99.81,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,FR,France,2022,,99.17,,b,break in time series,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,FR,France,2023,,98.21,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,FR,France,2024,,98.25,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,HR,Croatia,2015,,89.15,,,,,
