STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,lev_satis,Level of satisfaction,isced11,International Standard Classification of Education (ISCED 2011),life_sat,Life satisfaction,sex,Sex,age,Age class,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,HIGH,High,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,HU,Hungary,2023,,21.4,,u,low reliability,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,HIGH,High,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,IE,Ireland,2023,,26.4,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,HIGH,High,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,IT,Italy,2023,,16.0,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,HIGH,High,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,LT,Lithuania,2023,,22.8,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,HIGH,High,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,LU,Luxembourg,2023,,24.7,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,HIGH,High,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,LV,Latvia,2023,,15.0,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,HIGH,High,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,ME,Montenegro,2023,,13.0,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,HIGH,High,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,MT,Malta,2023,,23.5,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,HIGH,High,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,NL,Netherlands,2023,,22.5,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,HIGH,High,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,NO,Norway,2023,,30.7,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,HIGH,High,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,PL,Poland,2023,,27.9,,u,low reliability,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,HIGH,High,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,PT,Portugal,2023,,19.8,,u,low reliability,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,HIGH,High,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,RO,Romania,2023,,29.1,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,HIGH,High,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,RS,Serbia,2023,,14.2,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,HIGH,High,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,SE,Sweden,2023,,26.9,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,HIGH,High,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,SI,Slovenia,2023,,31.6,,b,break in time series,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,HIGH,High,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,SK,Slovakia,2023,,24.7,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,HIGH,High,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,TR,Türkiye,2023,,7.2,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,LOW,Low,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,AT,Austria,2023,,12.6,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,LOW,Low,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,BE,Belgium,2023,,6.5,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,LOW,Low,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,BG,Bulgaria,2023,,44.4,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,LOW,Low,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,CH,Switzerland,2023,,10.0,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,LOW,Low,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,CY,Cyprus,2023,,12.9,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,LOW,Low,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,CZ,Czechia,2023,,16.7,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,LOW,Low,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,DE,Germany,2023,,22.7,,u,low reliability,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,LOW,Low,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,DK,Denmark,2023,,15.5,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,LOW,Low,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,EE,Estonia,2023,,18.6,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,LOW,Low,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,EL,Greece,2023,,23.8,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,LOW,Low,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,ES,Spain,2023,,16.2,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,LOW,Low,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,FI,Finland,2023,,8.8,,b,break in time series,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,LOW,Low,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,FR,France,2023,,17.5,,u,low reliability,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,LOW,Low,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,HR,Croatia,2023,,20.7,,b,break in time series,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,LOW,Low,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,HU,Hungary,2023,,17.9,,u,low reliability,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,LOW,Low,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,IE,Ireland,2023,,11.3,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,LOW,Low,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,IT,Italy,2023,,10.5,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,LOW,Low,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,LT,Lithuania,2023,,19.4,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,LOW,Low,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,LU,Luxembourg,2023,,17.8,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,LOW,Low,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,LV,Latvia,2023,,22.6,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,LOW,Low,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,ME,Montenegro,2023,,27.5,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,LOW,Low,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,MT,Malta,2023,,13.2,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,LOW,Low,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,NL,Netherlands,2023,,7.3,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,LOW,Low,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,NO,Norway,2023,,12.2,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,LOW,Low,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,PL,Poland,2023,,10.6,,u,low reliability,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,LOW,Low,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,PT,Portugal,2023,,21.5,,u,low reliability,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,LOW,Low,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,RO,Romania,2023,,6.6,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,LOW,Low,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,RS,Serbia,2023,,32.8,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,LOW,Low,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,SE,Sweden,2023,,13.8,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,LOW,Low,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,SI,Slovenia,2023,,11.8,,b,break in time series,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,LOW,Low,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,SK,Slovakia,2023,,18.4,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,LOW,Low,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,TR,Türkiye,2023,,49.2,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,MED,Medium,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,AT,Austria,2023,,54.4,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,MED,Medium,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,BE,Belgium,2023,,70.6,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,MED,Medium,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,BG,Bulgaria,2023,,46.8,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,MED,Medium,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,CH,Switzerland,2023,,54.2,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,MED,Medium,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,CY,Cyprus,2023,,63.5,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,MED,Medium,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,CZ,Czechia,2023,,57.6,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,MED,Medium,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,DE,Germany,2023,,55.0,,u,low reliability,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,MED,Medium,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,DK,Denmark,2023,,52.3,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,MED,Medium,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,EE,Estonia,2023,,61.2,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,MED,Medium,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,EL,Greece,2023,,58.4,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,MED,Medium,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,ES,Spain,2023,,61.6,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,MED,Medium,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,FI,Finland,2023,,59.6,,b,break in time series,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,MED,Medium,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,FR,France,2023,,64.6,,u,low reliability,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,MED,Medium,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,HR,Croatia,2023,,58.1,,b,break in time series,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,MED,Medium,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,HU,Hungary,2023,,60.7,,u,low reliability,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,MED,Medium,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,IE,Ireland,2023,,62.3,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,MED,Medium,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,IT,Italy,2023,,73.4,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,MED,Medium,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,LT,Lithuania,2023,,57.8,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,MED,Medium,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,LU,Luxembourg,2023,,57.5,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,MED,Medium,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,LV,Latvia,2023,,62.4,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,MED,Medium,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,ME,Montenegro,2023,,59.5,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,MED,Medium,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,MT,Malta,2023,,63.3,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,MED,Medium,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,NL,Netherlands,2023,,70.2,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,MED,Medium,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,NO,Norway,2023,,57.1,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,MED,Medium,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,PL,Poland,2023,,61.5,,u,low reliability,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,MED,Medium,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,PT,Portugal,2023,,58.7,,u,low reliability,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,MED,Medium,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,RO,Romania,2023,,64.2,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,MED,Medium,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,RS,Serbia,2023,,53.0,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,MED,Medium,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,SE,Sweden,2023,,59.2,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,MED,Medium,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,SI,Slovenia,2023,,56.6,,b,break in time series,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,MED,Medium,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,SK,Slovakia,2023,,56.9,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,MED,Medium,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,TR,Türkiye,2023,,43.6,,,,,
