STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,lev_satis,Level of satisfaction,isced11,International Standard Classification of Education (ISCED 2011),life_sat,Life satisfaction,sex,Sex,age,Age class,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,HIGH,High,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,MT,Malta,2018,,26.6,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,HIGH,High,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,NL,Netherlands,2018,,24.0,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,HIGH,High,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,NO,Norway,2018,,40.1,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,HIGH,High,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,PL,Poland,2018,,34.6,,u,low reliability,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,HIGH,High,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,PT,Portugal,2018,,18.6,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,HIGH,High,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,RO,Romania,2018,,25.6,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,HIGH,High,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,RS,Serbia,2018,,7.5,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,HIGH,High,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,SE,Sweden,2018,,34.7,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,HIGH,High,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,SI,Slovenia,2018,,23.4,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,HIGH,High,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,SK,Slovakia,2018,,27.5,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,HIGH,High,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,TR,Türkiye,2018,,11.8,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,HIGH,High,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,UK,United Kingdom,2018,,31.8,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,HIGH,High,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,XK,Kosovo*,2018,,10.1,,,,,
