STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,life_sat,Life satisfaction,statinfo,Statistical information,isced11,International Standard Classification of Education (ISCED 2011),sex,Sex,age,Age class,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ILC_PW01B(1.0),"Life satisfaction by sex, age, educational attainment and domain",A,Annual,PER_RELS,Personal relationships,AVG,Average,TOTAL,All ISCED 2011 levels,T,Total,Y_GE16,16 years or over,RTG,Rating (0-10),RS,Serbia,2022,,7.4,,,,,
dataflow,ESTAT:ILC_PW01B(1.0),"Life satisfaction by sex, age, educational attainment and domain",A,Annual,PER_RELS,Personal relationships,AVG,Average,TOTAL,All ISCED 2011 levels,T,Total,Y_GE16,16 years or over,RTG,Rating (0-10),SE,Sweden,2022,,8.3,,,,,
dataflow,ESTAT:ILC_PW01B(1.0),"Life satisfaction by sex, age, educational attainment and domain",A,Annual,PER_RELS,Personal relationships,AVG,Average,TOTAL,All ISCED 2011 levels,T,Total,Y_GE16,16 years or over,RTG,Rating (0-10),SI,Slovenia,2022,,8.6,,,,,
dataflow,ESTAT:ILC_PW01B(1.0),"Life satisfaction by sex, age, educational attainment and domain",A,Annual,PER_RELS,Personal relationships,AVG,Average,TOTAL,All ISCED 2011 levels,T,Total,Y_GE16,16 years or over,RTG,Rating (0-10),SK,Slovakia,2022,,7.9,,,,,
dataflow,ESTAT:ILC_PW01B(1.0),"Life satisfaction by sex, age, educational attainment and domain",A,Annual,PER_RELS,Personal relationships,AVG,Average,TOTAL,All ISCED 2011 levels,T,Total,Y_GE16,16 years or over,RTG,Rating (0-10),TR,Türkiye,2022,,6.5,,,,,
dataflow,ESTAT:ILC_PW01B(1.0),"Life satisfaction by sex, age, educational attainment and domain",A,Annual,TIME,Time use,AVG,Average,TOTAL,All ISCED 2011 levels,T,Total,Y_GE16,16 years or over,RTG,Rating (0-10),AT,Austria,2022,,7.4,,,,,
dataflow,ESTAT:ILC_PW01B(1.0),"Life satisfaction by sex, age, educational attainment and domain",A,Annual,TIME,Time use,AVG,Average,TOTAL,All ISCED 2011 levels,T,Total,Y_GE16,16 years or over,RTG,Rating (0-10),BE,Belgium,2022,,7.2,,,,,
dataflow,ESTAT:ILC_PW01B(1.0),"Life satisfaction by sex, age, educational attainment and domain",A,Annual,TIME,Time use,AVG,Average,TOTAL,All ISCED 2011 levels,T,Total,Y_GE16,16 years or over,RTG,Rating (0-10),BG,Bulgaria,2022,,5.7,,,,,
dataflow,ESTAT:ILC_PW01B(1.0),"Life satisfaction by sex, age, educational attainment and domain",A,Annual,TIME,Time use,AVG,Average,TOTAL,All ISCED 2011 levels,T,Total,Y_GE16,16 years or over,RTG,Rating (0-10),CH,Switzerland,2022,,7.5,,,,,
dataflow,ESTAT:ILC_PW01B(1.0),"Life satisfaction by sex, age, educational attainment and domain",A,Annual,TIME,Time use,AVG,Average,TOTAL,All ISCED 2011 levels,T,Total,Y_GE16,16 years or over,RTG,Rating (0-10),CY,Cyprus,2022,,6.3,,,,,
dataflow,ESTAT:ILC_PW01B(1.0),"Life satisfaction by sex, age, educational attainment and domain",A,Annual,TIME,Time use,AVG,Average,TOTAL,All ISCED 2011 levels,T,Total,Y_GE16,16 years or over,RTG,Rating (0-10),CZ,Czechia,2022,,6.9,,,,,
dataflow,ESTAT:ILC_PW01B(1.0),"Life satisfaction by sex, age, educational attainment and domain",A,Annual,TIME,Time use,AVG,Average,TOTAL,All ISCED 2011 levels,T,Total,Y_GE16,16 years or over,RTG,Rating (0-10),DE,Germany,2022,,,,u,low reliability,,
dataflow,ESTAT:ILC_PW01B(1.0),"Life satisfaction by sex, age, educational attainment and domain",A,Annual,TIME,Time use,AVG,Average,TOTAL,All ISCED 2011 levels,T,Total,Y_GE16,16 years or over,RTG,Rating (0-10),DK,Denmark,2022,,7.5,,,,,
dataflow,ESTAT:ILC_PW01B(1.0),"Life satisfaction by sex, age, educational attainment and domain",A,Annual,TIME,Time use,AVG,Average,TOTAL,All ISCED 2011 levels,T,Total,Y_GE16,16 years or over,RTG,Rating (0-10),EE,Estonia,2022,,7.1,,,,,
dataflow,ESTAT:ILC_PW01B(1.0),"Life satisfaction by sex, age, educational attainment and domain",A,Annual,TIME,Time use,AVG,Average,TOTAL,All ISCED 2011 levels,T,Total,Y_GE16,16 years or over,RTG,Rating (0-10),EL,Greece,2022,,5.5,,,,,
dataflow,ESTAT:ILC_PW01B(1.0),"Life satisfaction by sex, age, educational attainment and domain",A,Annual,TIME,Time use,AVG,Average,TOTAL,All ISCED 2011 levels,T,Total,Y_GE16,16 years or over,RTG,Rating (0-10),ES,Spain,2022,,6.6,,,,,
dataflow,ESTAT:ILC_PW01B(1.0),"Life satisfaction by sex, age, educational attainment and domain",A,Annual,TIME,Time use,AVG,Average,TOTAL,All ISCED 2011 levels,T,Total,Y_GE16,16 years or over,RTG,Rating (0-10),FI,Finland,2022,,7.7,,,,,
dataflow,ESTAT:ILC_PW01B(1.0),"Life satisfaction by sex, age, educational attainment and domain",A,Annual,TIME,Time use,AVG,Average,TOTAL,All ISCED 2011 levels,T,Total,Y_GE16,16 years or over,RTG,Rating (0-10),FR,France,2022,,6.5,,,,,
dataflow,ESTAT:ILC_PW01B(1.0),"Life satisfaction by sex, age, educational attainment and domain",A,Annual,TIME,Time use,AVG,Average,TOTAL,All ISCED 2011 levels,T,Total,Y_GE16,16 years or over,RTG,Rating (0-10),HR,Croatia,2022,,6.4,,,,,
dataflow,ESTAT:ILC_PW01B(1.0),"Life satisfaction by sex, age, educational attainment and domain",A,Annual,TIME,Time use,AVG,Average,TOTAL,All ISCED 2011 levels,T,Total,Y_GE16,16 years or over,RTG,Rating (0-10),HU,Hungary,2022,,6.5,,,,,
dataflow,ESTAT:ILC_PW01B(1.0),"Life satisfaction by sex, age, educational attainment and domain",A,Annual,TIME,Time use,AVG,Average,TOTAL,All ISCED 2011 levels,T,Total,Y_GE16,16 years or over,RTG,Rating (0-10),IE,Ireland,2022,,6.9,,,,,
dataflow,ESTAT:ILC_PW01B(1.0),"Life satisfaction by sex, age, educational attainment and domain",A,Annual,TIME,Time use,AVG,Average,TOTAL,All ISCED 2011 levels,T,Total,Y_GE16,16 years or over,RTG,Rating (0-10),IT,Italy,2022,,6.7,,,,,
dataflow,ESTAT:ILC_PW01B(1.0),"Life satisfaction by sex, age, educational attainment and domain",A,Annual,TIME,Time use,AVG,Average,TOTAL,All ISCED 2011 levels,T,Total,Y_GE16,16 years or over,RTG,Rating (0-10),LT,Lithuania,2022,,6.9,,,,,
dataflow,ESTAT:ILC_PW01B(1.0),"Life satisfaction by sex, age, educational attainment and domain",A,Annual,TIME,Time use,AVG,Average,TOTAL,All ISCED 2011 levels,T,Total,Y_GE16,16 years or over,RTG,Rating (0-10),LU,Luxembourg,2022,,6.5,,,,,
dataflow,ESTAT:ILC_PW01B(1.0),"Life satisfaction by sex, age, educational attainment and domain",A,Annual,TIME,Time use,AVG,Average,TOTAL,All ISCED 2011 levels,T,Total,Y_GE16,16 years or over,RTG,Rating (0-10),LV,Latvia,2022,,7.2,,,,,
dataflow,ESTAT:ILC_PW01B(1.0),"Life satisfaction by sex, age, educational attainment and domain",A,Annual,TIME,Time use,AVG,Average,TOTAL,All ISCED 2011 levels,T,Total,Y_GE16,16 years or over,RTG,Rating (0-10),ME,Montenegro,2022,,5.3,,,,,
dataflow,ESTAT:ILC_PW01B(1.0),"Life satisfaction by sex, age, educational attainment and domain",A,Annual,TIME,Time use,AVG,Average,TOTAL,All ISCED 2011 levels,T,Total,Y_GE16,16 years or over,RTG,Rating (0-10),MT,Malta,2022,,6.8,,,,,
dataflow,ESTAT:ILC_PW01B(1.0),"Life satisfaction by sex, age, educational attainment and domain",A,Annual,TIME,Time use,AVG,Average,TOTAL,All ISCED 2011 levels,T,Total,Y_GE16,16 years or over,RTG,Rating (0-10),NL,Netherlands,2022,,7.3,,,,,
dataflow,ESTAT:ILC_PW01B(1.0),"Life satisfaction by sex, age, educational attainment and domain",A,Annual,TIME,Time use,AVG,Average,TOTAL,All ISCED 2011 levels,T,Total,Y_GE16,16 years or over,RTG,Rating (0-10),NO,Norway,2022,,7.5,,,,,
dataflow,ESTAT:ILC_PW01B(1.0),"Life satisfaction by sex, age, educational attainment and domain",A,Annual,TIME,Time use,AVG,Average,TOTAL,All ISCED 2011 levels,T,Total,Y_GE16,16 years or over,RTG,Rating (0-10),PL,Poland,2022,,6.7,,,,,
dataflow,ESTAT:ILC_PW01B(1.0),"Life satisfaction by sex, age, educational attainment and domain",A,Annual,TIME,Time use,AVG,Average,TOTAL,All ISCED 2011 levels,T,Total,Y_GE16,16 years or over,RTG,Rating (0-10),PT,Portugal,2022,,7.0,,,,,
dataflow,ESTAT:ILC_PW01B(1.0),"Life satisfaction by sex, age, educational attainment and domain",A,Annual,TIME,Time use,AVG,Average,TOTAL,All ISCED 2011 levels,T,Total,Y_GE16,16 years or over,RTG,Rating (0-10),RO,Romania,2022,,7.3,,,,,
dataflow,ESTAT:ILC_PW01B(1.0),"Life satisfaction by sex, age, educational attainment and domain",A,Annual,TIME,Time use,AVG,Average,TOTAL,All ISCED 2011 levels,T,Total,Y_GE16,16 years or over,RTG,Rating (0-10),RS,Serbia,2022,,6.0,,,,,
dataflow,ESTAT:ILC_PW01B(1.0),"Life satisfaction by sex, age, educational attainment and domain",A,Annual,TIME,Time use,AVG,Average,TOTAL,All ISCED 2011 levels,T,Total,Y_GE16,16 years or over,RTG,Rating (0-10),SE,Sweden,2022,,7.4,,,,,
dataflow,ESTAT:ILC_PW01B(1.0),"Life satisfaction by sex, age, educational attainment and domain",A,Annual,TIME,Time use,AVG,Average,TOTAL,All ISCED 2011 levels,T,Total,Y_GE16,16 years or over,RTG,Rating (0-10),SI,Slovenia,2022,,7.5,,,,,
dataflow,ESTAT:ILC_PW01B(1.0),"Life satisfaction by sex, age, educational attainment and domain",A,Annual,TIME,Time use,AVG,Average,TOTAL,All ISCED 2011 levels,T,Total,Y_GE16,16 years or over,RTG,Rating (0-10),SK,Slovakia,2022,,6.6,,,,,
dataflow,ESTAT:ILC_PW01B(1.0),"Life satisfaction by sex, age, educational attainment and domain",A,Annual,TIME,Time use,AVG,Average,TOTAL,All ISCED 2011 levels,T,Total,Y_GE16,16 years or over,RTG,Rating (0-10),TR,Türkiye,2022,,4.8,,,,,
